npsn,level,name
10211263,SMK,SMKS PARULIAN 2
10211265,SMK,SMKS PENCAWAN 1
10211266,SMK,SMKS PGRI 8
10211268,SMK,SMKS RAHMAT ISLAMIYAH
10211269,SMK,SMKS RAKSANA 2
10211272,SMK,SMKS SILOAM 2
10211273,SMK,SMK PADAMU NEGERI MEDAN
10211274,SMK,SMKS NUSA PENIDA
10211275,SMK,SMK-2 SWASTA NURHASANAH MEDAN
10211276,SMK,SMKS MARKUS 1
10211277,SMK,SMKS MEDAN AREA 1
10211278,SMK,SMK 2 BISNIS DAN MANAJEMEN MEDAN PUTRI
10211279,SMK,SMKS METHODIST 8
10211282,SMK,SMKS MUHAMMADIYAH 04
10211283,SMK,SMKS MUHAMMADIYAH 6
10211285,SMK,SMKS MULIA PRATAMA
10211288,SMK,SMKS NURCAHAYA
10211290,SMA,SMAS ABDI NEGARA
10211291,SMA,SMAS AHMAD YANI
10211292,SMA,SMAS AN NADWA ISLAMIC CENTRE
10211302,SMA,SMAS INSANI
10211303,SMA,SMAS LANGKAT
10211306,SMA,SMAS YPIS MAJU
10211307,SMA,SMAS TUNAS PELITA BINJAI
10211309,SMA,SMA SWASTA TAMAN SISWA
10211310,SMA,SMAS SETIA BUDI
10211311,SMA,SMAS SATRIA
10211312,SMA,SMAS SANTO THOMAS 4
10211313,SMA,SMAS PALAPA
10211314,SMA,SMAS PABA BINJAI
