NYPY,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,NPYP
AO5348,20109252,SMKS MUHAMMADIYAH 15,SMK,Kec. Setia Budi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20103202,SMAS MUHAMMADIYAH 11 JAKARTA,SMA,Kec. Pulo Gadung,Kota Jakarta Timur,Prov. D.K.I. Jakarta,
AO5348,20103792,SMKS MUHAMMADIYAH 6 JAKARTA,SMK,Kec. Matraman,Kota Jakarta Timur,Prov. D.K.I. Jakarta,
AO5348,20103181,SMAS MUHAMMADIYAH 12 JAKARTA,SMA,Kec. Matraman,Kota Jakarta Timur,Prov. D.K.I. Jakarta,
AO5348,20104433,SMAS MUHAMMADIYAH 15,SMA,Kec. Palmerah,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AO5348,20101506,SMKS MUHAMMADIYAH 4 JAKARTA,SMK,Kec. Palmerah,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AO5348,20101326,SMAS MUHAMMADIYAH 13 JAKARTA,SMA,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AO5348,20101521,SMKS MUHAMMADIYAH 3 JAKARTA,SMK,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AO5348,20101325,SMAS MUHAMMADIYAH 24,SMA,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AO5348,20107315,SMAS MUHAMMADIYAH 18 JAKARTA,SMA,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20102605,SMKS MUHAMMADIYAH 9,SMK,Kec. Kebayoran Lama,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20107314,SMA MUHAMMADIYAH 3 JAKARTA,SMA,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20102543,SMKS AL KAUTSAR,SMK,Kec. Kebayoran Baru,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20107317,SMAS MUHAMMADIYAH 5 JAKARTA,SMA,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20102604,SMKS MUHAMMADIYAH 7 JAKARTA,SMK,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20177945,MAS MUHAMMADIYAH,MA,Kec. Tebet,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20103179,SMAS MUHAMMADIYAH 4 JAKARTA,SMA,Kec. Kramat Jati,Kota Jakarta Timur,Prov. D.K.I. Jakarta,
AO5348,20103180,SMAS MUHAMMADIYAH 23 JAKARTA,SMA,Kec. Duren Sawit,Kota Jakarta Timur,Prov. D.K.I. Jakarta,
AO5348,20107431,SMKS MUHAMMADIYAH 12,SMK,Kec. Koja,Kota Jakarta Utara,Prov. D.K.I. Jakarta,
AO5348,20101632,SMKS MUHAMMADIYAH 13 JAKARTA,SMK,Kec. Cengkareng,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AO5348,69971295,SMK IT AISYIYAH,SMK,Kec. Jagakarsa,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,
AO5348,20100142,SMKS MUHAMMADIYAH 2 JAKARTA,SMK,Kec. Tanah Abang,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20108509,SMKS MUHAMMADIYAH 5 JAKARTA,SMK,Kec. Tanah Abang,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100184,SMAS MUHAMMADIYAH 14 JAKARTA,SMA,Kec. Tanah Abang,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100195,SMAS MUHAMMADIYAH 1 JAKARTA,SMA,Kec. Senen,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100116,SMKS MUHAMMADIYAH 10 JAKARTA,SMK,Kec. Senen,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100183,SMAS MUHAMMADIYAH 16 JAKARTA,SMA,Kec. Senen,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100115,SMKS MUHAMMADIYAH 1 JAKARTA,SMK,Kec. Kemayoran,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100182,SMAS MUHAMMADIYAH 2 JAKARTA,SMA,Kec. Kemayoran,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AO5348,20100141,SMKS MUHAMMADIYAH 11 JAKARTA,SMK,Kec. Kemayoran,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,
AA9566,20328811,SMP ISLAM SULTAN AGUNG 4,SMP,Kec. Genuk,Kota Semarang,Prov. Jawa Tengah,
AA9566,20328917,SMA ISLAM SULTAN AGUNG 3,SMA,Kec. Genuk,Kota Semarang,Prov. Jawa Tengah,
AA9566,20345040,TK SULTAN AGUNG 1,TK,Kec. Semarang Selatan,Kota Semarang,Prov. Jawa Tengah,
AA9566,20328918,SMA ISLAM SULTAN AGUNG 1,SMA,Kec. Semarang Selatan,Kota Semarang,Prov. Jawa Tengah,
AA9566,69978096,KB ISLAM SULTAN AGUNG 1,KB,Kec. Semarang Selatan,Kota Semarang,Prov. Jawa Tengah,
AA9566,69848189,TK ISLAM SULTAN AGUNG 02,TK,Kec. Tembalang,Kota Semarang,Prov. Jawa Tengah,
AA9566,20329087,SD ISLAM SULTAN AGUNG 04,SD,Kec. Semarang Timur,Kota Semarang,Prov. Jawa Tengah,
AA9566,69913422,TK ISLAM SULTAN AGUNG 4,TK,Kec. Semarang Timur,Kota Semarang,Prov. Jawa Tengah,
AA9566,20328800,SMP ISLAM SULTAN AGUNG I,SMP,Kec. Semarang Tengah,Kota Semarang,Prov. Jawa Tengah,
AA9566,20329086,SD ISLAM SULTAN AGUNG 03,SD,Kec. Semarang Tengah,Kota Semarang,Prov. Jawa Tengah,
AA9566,20329075,SD ISLAM SULTAN AGUNG 01,SD,Kec. Semarang Tengah,Kota Semarang,Prov. Jawa Tengah,
AA9566,20329076,SD ISLAM SULTAN AGUNG 02,SD,Kec. Semarang Utara,Kota Semarang,Prov. Jawa Tengah,
AH6547,40313473,SMP BATARA GOWA,SMP,Kec. Somba Opu,Kab. Gowa,Prov. Sulawesi Selatan,
AH6547,40314404,SMAS BATARA GOWA,SMA,Kec. Somba Opu,Kab. Gowa,Prov. Sulawesi Selatan,
AD1279,40602682,SMKS TALENTA,SMK,Kec. Mamasa,Kab. Mamasa,Prov. Sulawesi Barat,
AX2984,40402981,SMAS MUTIARA BAUBAU,SMA,Kec. Murhum,Kota Baubau,Prov. Sulawesi Tenggara,
AX2984,40402766,SMPS MUTIARA,SMP,Kec. Murhum,Kota Baubau,Prov. Sulawesi Tenggara,
AH9061,20607524,SMKS TRISULA BHAKTI,SMK,Kec. Periuk,Kota Tangerang,Prov. Banten,
AH3705,69849438,SMK SULTHAN MUAZZAM SYAH,SMK,Kec. Sukajadi,Kota Pekanbaru,Prov. Riau,
AB3345,20554290,SMP Nahdlatul Ulama 07 Wringin,SMP,Kec. Wringin,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69977698,MI MA`ARIF NU BANDILAN,MI,Kec. Prajekan,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69887629,RA. Nahdlatul Ulama 01,RA,Kec. Jambesari Darus Sholah,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20554291,SMP NU 06 JAMBESARI DARUS SHOLAH,SMP,Kec. Jambesari Darus Sholah,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725603,TKS NU 3,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69978148,SMP NU 15 Cermee,SMP,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725609,TKS NU 9,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725622,TKS NU 21 DARUN NAJAH,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69794052,TK. NU 24,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20583976,SD NU 02 CERMEE,SD,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69894666,MIS DARUS SALAM BAJURAN,MI,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725616,TKS NU 16,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725623,TKS NU 22,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725626,TKS NU 25,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725613,TKS NU 14,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725602,TKS NU 2,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725612,TKS NU 13,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725611,TKS NU 11,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725610,TKS NU 12,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725624,TKS NU 23,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725618,TKS NU 17,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725607,TKS NU 8,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20576023,SMP NU 11,SMP,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69895143,MTsS Ma`arif NU 04,MTs,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725620,TKS NU 19,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725600,TKS NU 1,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725604,TKS NU 4,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725619,TKS NU 18,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725621,TKS NU 20,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725615,TKS NU 15,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60725605,TKS NU 5,TK,Kec. Cermee,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20521794,SMP NU 01,SMP,Kec. Tenggarang,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20554276,SMP NU 04,SMP,Kec. Tenggarang,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20570367,SMK NU TENGGARANG,SMK,Kec. Tenggarang,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69745535,RA/BA/TA MASYITHOH MA`ARIF,RA,Kec. Tenggarang,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69885078,RA. An Nisa MaArif,RA,Kec. Bondowoso,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,69876156,SMA NAHDATUL ULAMA 1 BONDOWOSO,SMA,Kec. Bondowoso,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20581745,MTSS NAHDLATUL ULAMA 01,MTs,Kec. Maesan,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,20580158,MAS AL MA`ARIF,MA,Kec. Pujer,Kab. Bondowoso,Prov. Jawa Timur,
AB3345,60716102,MIS Mambaul Ulum Tegalmijin,MI,Kec. Grujugan,Kab. Bondowoso,Prov. Jawa Timur,
AD5189,20244693,SMKS SAHIDA LEMAHABANG,SMK,Kec. Lemah Abang,Kab. Cirebon,Prov. Jawa Barat,
AF9415,69948934,SMAS ISLAM AL-KHITHAB AL-ISLAMY,SMA,Kec. Raba,Kota Bima,Prov. Nusa Tenggara Barat,
AA0503,20109187,SMKS INSAN GLOBAL,SMK,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,
AI8413,10212721,SMK SWASTA ARJUNA LAGUBOTI,SMK,Kec. Lagu Boti,Kab. Toba,Prov. Sumatera Utara,
AM0012,10258236,SMK SWASTA MITRA KASIH TELUK DALAM,SMK,Kec. Teluk Dalam,Kab. Nias Selatan,Prov. Sumatera Utara,
AM0012,10258180,SMP SWASTA MITRA KASIH BKPN,SMP,Kec. Teluk Dalam,Kab. Nias Selatan,Prov. Sumatera Utara,
AC4370,40102749,SMKS MALESUNG MANADO,SMK,Kec. Wanea,Kota Manado,Prov. Sulawesi Utara,
AG6434,20231562,SD BANI SALEH 5,SD,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,
AG6434,20223101,SMP BANI SALEH 1,SMP,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,
AG6434,20252595,SMAS BANI SALEH,SMA,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,
AG6434,20223219,SD BANI SALEH 1,SD,Kec. Bekasi Timur,Kota Bekasi,Prov. Jawa Barat,
AG6434,20223500,SD BANI SALEH 4,SD,Kec. Bekasi Utara,Kota Bekasi,Prov. Jawa Barat,
AG6434,69899102,TK BANI SALEH 3,TK,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,
AG6434,20223203,SD BANI SALEH 3,SD,Kec. Medan Satria,Kota Bekasi,Prov. Jawa Barat,
AG6434,20253805,SD BANI SALEH 6,SD,Kec. Rawalumbu,Kota Bekasi,Prov. Jawa Barat,
