"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AC1891","Islamiyah","Jl.Laksamana Malahayati, Pesawahan, Kec. Teluk Betung Selatan, Kota Bandar Lampung Prov. Lampung","Cholid Bilgesir","Ade Khairunnisa","35223","1093/11241989","26 Jun 1989","2"
"AI0442","YAYASAN PENDIDIKAN FAUZAN HIKAM","Jl. K.H. Abdul Hamid, SUKAMAJU, Kec. Cibungbulang, Kab. Bogor Prov. Jawa Barat","DJAENAL ARIFIN, S.Pd.MM","Riswan","16630","02/Drs.CHAERUL ANWAR, SH.MK","11 Mar 2011","2"
"AK5546","YAYASAN IMAM ASY-SYAFII CENDEKIA RIAU","JL. SOEKARNO HATTA UJUNG, -, Kec. Marpoyan Damai, Kota Pekanbaru Prov. Riau","Ir. Bambang Mardiyosa, MBA","HARDIANTO","28125","08","10 Jan 2011","4"
"AN7836","YAYASAN PADINDI","Prepedan Dalam No.38, Kamal, Kec. Kali Deres, Kota Jakarta Barat Prov. D.K.I. Jakarta","Dra. Hj. Lelawati","BAHRUDIN","11810","68","17 May 1983","4"
"AN9009","YAYASAN INSANTAMA CENDEKIA","Perum. Indraprasta II, Jl. Bratasena II No. 5, TEGAL GUNDIL, Kec. Kota Bogor Utara, Kota Bogor Prov. Jawa Barat","Ir. ISMAIL YUSANTO, MM","HENDRIK","16152","8","27 Aug 2001","2"
"AF2397","YPPB Belitang","Wonorejo BK 8 Belitang, Sumbersuko Jaya, Kec. Belitang, Kab. Ogan Komering Ulu Timur Prov. Sumatera Selatan","Eni Muryati","Youngky Orlando","32382","90","28 Jan 1984","1"
"AL3414","Yayasan Kutawaringin",", Wanareja, Kec. Subang, Kab. Subang Prov. Jawa Barat","DR.Drs. H. KOMIR BASTAMAN,SH., MSi","","","65.A","26 Mar 1982","1"
"AM6300","Prima Bakti",", Ciakar, Kec. Panongan, Kab. Tangerang Prov. Banten","Rahmat Safari, SE","MEINA RAHMATIKA TAUHID","","001/YPBB/2/2005","25 Jul 2005","2"
"AL2438","YPPS","Cilengsar, Cipanas, Kec. Cipanas, Kab. Cianjur Prov. Jawa Barat","Deni Kusnadi, S. Pd","Nurnida Ahdiani","43253","3/2008","15 Mar 2008","1"
"AL7980","Yayasan Pesantren miftahul ulum opo-opo","JL. pp miftahul ulum, -, Kec. Krejengan, Kab. Probolinggo Prov. Jawa Timur","Syamsul Arifin","Syamsul  Arifin","67284","66","16 Dec 2015","2"
"AM5819","YAYASAN BINA SETIA INDONESIA","JLN. PDAM KARANG TUMARITIS, KARANG TUMARITIS, Kec. Nabire, Kab. Nabire Prov. Papua Tengah","JEMMY NOVIANTO, M.Th","","98815","421.5/1781/2006","31 Jul 2006","1"
"AN7376","Yayasan Pendidikan dan Sosial Pribadi Mandiri","Jl. HR. Rasuna Said, Pakojan, Kec. Pinang, Kota Tangerang Prov. Banten","Drs. H. Yayat Kemal Kodrat","Riyadul Zanah","15142","19","02 Sep 2010","1"
"AG2151","Yayasan Paramarta Cinta Bangsa","JL. RAYA JOMBANG Gg. TAQWA NO. 70 DEPAN VILLA JOMBANG BARU CIPUTAT, -, Kec. Ciputat, Kota Tangerang Selatan Prov. Banten","Hefi Hefiasih Hasanah., S.H","Bayu Laksono","15414","1","17 May 2002","2"
"AG8880","Yayasan Darul Qur'an Wal Irsyad Wonosari","Nusantara 17, -, Kec. Saptosari, Kab. Gunung Kidul Prov. D.I. Yogyakarta","H. Ariyanto Purbo Prasetyo","Akhmadi, S.Pd.I.","55813","01","01 Feb 2011","2"
"AB3869","AL FUTUHIYYAH","PATUNGRAYA, TEMBOKREJO, Kec. Muncar, Kab. Banyuwangi Prov. Jawa Timur","M. SYAIFUDDIN S.Ag","Kholilurrohman","68472","421.5/1691/429.101/2013tttttt","06 Jul 2013","4"
"AX3189","YAYASAN SABILIL KHAIROOT","Jl. Capanas Buaran No. 09 Buaran, -, Kec. Bantarkawung, Kab. Brebes Prov. Jawa Tengah","Drs. H. Mungal Purnomo","Nurul Azmi","52274","458","17 Oct 2015","2"
"AI5964","Yayasan Pendidikan Putra Buana Ngunut","Jl. Kidangan Barat No 135 Lk 08 Ngunut, -, Kec. Ngunut, Kab. Tulungagung Prov. Jawa Timur","Dra. NURHIDAYATI","ZULINDA DIAN ANDRIANI","66292","36","23 Nov 2015","4"
"AB3637","YAYASAN PENDIDIKAN DAN PONDOK PESANTREN MABDAUL MA'ARIF JOMBANG","Jl. KH. A. Wahid Hasyim No. 35 Jombang Jember, -, Kec. Jombang, Kab. Jember Prov. Jawa Timur","Dr. KHOTIBUL UMAM, S.Pd., MA.","Moh. Abd Basyir","68168","40","30 Mar 2015","6"
"AI2234","Megabrain Indonesia","Jl. Rancabolang No. 10B, Manjahlega, Kec. Rancasari, Kota Bandung Prov. Jawa Barat","Mariam Eko Sri Puji Hastuti","Anggi Herdiawan","","C-135.GT.03.D2","26 Feb 2002","1"
"AK4452","YAYASAN AZIS MANDIRI","PANDAYANGAN INDAH, -, Kec. Silangkitang, Kab. Labuhan Batu Selatan Prov. Sumatera Utara","RUSMAWATI SIMAMORA, M.Pd.","DWI AGUSTINA ROSKA NST","21972","18","27 Jan 2018","2"
"AE9398","PERKUMPULAN AL JAMI'ATUL WASHLIYAH","Jl. Garu II No. 2, -, Kec. Medan Amplas, Kota Medan Prov. Sumatera Utara","Drs. MASYHURIL KHAMIS, SH","PUTERA CHAIRUL HADY","20147","28","17 Oct 1958","5"
"AG4650","DUTA PASUNDAN","Komplek Permata Hijau Blok D 115 E, JELEGONG, Kec. Rancaekek, Kab. Bandung Prov. Jawa Barat","R. IIS SUHART, S.E., M.M.","R.Iis Suharti","40394","5","23 Aug 2001","1"
"AB7626","DIRGA BAHANA BANGSA","JL. TEMBAKAU RAYA NO. 48, MANGGA, Kec. Medan Tuntungan, Kota Medan Prov. Sumatera Utara","FACHRIAL DANIEL","Sakban","20141","AHU-0020362.AH.01.12.Tahun 2015","02 Nov 2015","1"
"AG0609","YAYASAN PENDIDIKAN KRISTEN {PSW } YPK KEEROM","JL.swakarsa Bhayankara Arso 10, -, Kec. Arso Barat, Kab. Keerom Prov. Papua","KAREL F MAMBAY, SE.M.Pd.K","YANTO N I LINOME","99368","002/SKEP/PSW/X/2015","30 Oct 2015","15"
"AA1919","Yayasan Pendidikan Islam Riyadhul Huda","Jln. H Kosasih No 01, Babakansari, Kec. Sukaluyu, Kab. Cianjur Prov. Jawa Barat","Obih Baehaqi","Tedi Lukmanul Tamim","","AHU-0020002.AH.01.04.Tahun 2015","31 Oct 2015","2"
"AF9195","YAYASAN AR-RIZKY MANTIKA","Jln. MT. SIRAJUDIN No. 19 A, -, Kec. Woja, Kab. Dompu Prov. Nusa Tenggara Barat","Muhammad Yamin, S.Pd. M.Pd","Sri Wahyuningsih, S.Pd","84216","78","21 Sep 2007","3"
"AJ3682","SMK GENERASI HUSADA BIMA","Jl.Lintas Waworada, Waworada, Kec. Langgudu, Kab. Bima Prov. Nusa Tenggara Barat","A.Haris.S.ST.M.PH","ST.MISBAH,S.Pd","84171","103","26 Nov 2015","1"
"AL9655","Yayasan Perguruan Harapan Anugrah  Paya Bakung","Jalan Pelajar , -, Kec. Hamparan Perak, Kab. Deli Serdang Prov. Sumatera Utara","Sukemi, S.Sos","Shofura Rufaida","20374","05","17 Feb 2012","3"
"AO2876","PERGURUAN GANESA METRO","JLN.RAYA SEKAMPUNG, SUMBERGEDE, Kec. Sekampung, Kab. Lampung Timur Prov. Lampung","GIRI SUGIARTO WIBOWO.SE","MUHAMMAD TAMRIN","34182","2543/112.31/U/1999","30 Mar 1999","2"
"AF9541","YAYASAN PUTRA TIMOR TAFENA TOH","JL. SONKIKO, OENIKO, Kec. Amabi Oefeto Timur, Kab. Kupang Prov. Nusa Tenggara Timur","YAHYA BAKSUNI, SE","Benedikta L. Letuna","85362","40","31 Oct 2006","2"
"AH0621","NURUL ULUM ATTAUHID","Jl. Rajawali No.110, Kemuningsari Lor, Kec. Panti, Kab. Jember Prov. Jawa Timur","KH. Hanif Abdul Razaq","Untung Wahyudi","68153","","13 Apr 2015","1"
"AN1510","YAYASAN QODIRIYAH SULAIMANIYAH","KREWEH GUNUNGREJO, GUNUNGREJO, Kec. Singosari, Kab. Malang Prov. Jawa Timur","K.H Ibnu Sulaiman,Al Faiz,S.Q.","Mukminul Muhaimin, S.Pd.,M.Sc","65153","NO 06","10 Apr 2012","1"
"AL4046","MIFTAHUL ULUM","JL. SEKAR KEMUNING, KARYAMULYA, Kec. Kesambi, Kota Cirebon Prov. Jawa Barat","H.ACHMAD SUHADY BE","Tamzil Handayani","45135","425/1618-DISDIK/2003","06 Mar 2004","3"
